<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zagros.Kosar.Power,20201123,13413.00,13413.00,13413.00,14102.00,1049527011,78247,52,D,14118.00,13413.00
Zagros.Kosar.Power,20201122,13421.00,13421.00,13421.00,14118.00,573157226,42706,35,D,14127.00,13421.00
Zagros.Kosar.Power,20201121,13458.00,13458.00,13458.00,14127.00,2614041546,194237,74,D,14166.00,13458.00
Zagros.Kosar.Power,20201118,13599.00,13599.00,13599.00,14166.00,9603980973,706227,154,D,14314.00,13599.00
Zagros.Kosar.Power,20201117,13660.00,13660.00,13660.00,14314.00,4151656480,303928,99,D,14378.00,13660.00
Zagros.Kosar.Power,20201116,13664.00,13664.00,13664.00,14378.00,347338880,25420,18,D,14383.00,13664.00
Zagros.Kosar.Power,20201115,13683.00,13683.00,13683.00,14383.00,1309175757,95679,33,D,14403.00,13683.00
Zagros.Kosar.Power,20201114,13936.00,13936.00,13936.00,14403.00,17246441056,1237546,212,D,14669.00,13936.00
Zagros.Kosar.Power,20201111,13977.00,13977.00,13977.00,14669.00,2773623834,198442,29,D,14712.00,13977.00
Zagros.Kosar.Power,20201110,13978.00,13978.00,13978.00,14712.00,78360668,5606,8,D,14713.00,13978.00
Zagros.Kosar.Power,20201109,14001.00,14001.00,14001.00,14713.00,1551744831,110831,11,D,14737.00,14001.00
Zagros.Kosar.Power,20201108,14012.00,14012.00,14012.00,14737.00,753635420,53785,8,D,14749.00,14012.00
Zagros.Kosar.Power,20201107,14050.00,14050.00,14050.00,14749.00,2545677350,181187,17,D,14789.00,14050.00
Zagros.Kosar.Power,20201104,14134.00,14134.00,14134.00,14789.00,5471228998,387097,57,D,14877.00,14134.00
Zagros.Kosar.Power,20201102,14184.00,14184.00,14184.00,14877.00,3275553672,230933,33,D,14930.00,14184.00
Zagros.Kosar.Power,20201101,14260.00,14260.00,14260.00,14930.00,4978137480,349098,36,D,15010.00,14260.00
Zagros.Kosar.Power,20201031,14493.00,14493.00,14493.00,15010.00,15302839854,1055878,218,D,15255.00,14493.00
Zagros.Kosar.Power,20201028,14507.00,14507.00,14507.00,15255.00,934018688,64384,41,D,15270.00,14507.00
Zagros.Kosar.Power,20201027,14513.00,14513.00,14513.00,15270.00,399992793,27561,25,D,15276.00,14513.00
Zagros.Kosar.Power,20201026,14529.00,14529.00,14529.00,15276.00,1057318917,72773,30,D,15293.00,14529.00
Zagros.Kosar.Power,20201024,14540.00,14540.00,14540.00,15293.00,743808240,51156,21,D,15305.00,14540.00
Zagros.Kosar.Power,20201021,15189.00,15668.00,15189.00,15305.00,112104450939,7324760,997,D,15988.00,15189.00
Zagros.Kosar.Power,20201020,15254.00,15254.00,15254.00,15988.00,3965338316,259954,47,D,16056.00,15254.00
Zagros.Kosar.Power,20201019,15375.00,15375.00,15375.00,16056.00,7407552000,481792,42,D,16184.00,15375.00
Zagros.Kosar.Power,20201018,15600.00,15600.00,15600.00,16184.00,13722540000,879650,121,D,16421.00,15600.00
Zagros.Kosar.Power,20201014,17169.00,17169.00,15535.00,16421.00,669280664495,40757496,6686,D,16352.00,15535.00
Zagros.Kosar.Power,20201013,16352.00,16352.00,16352.00,16352.00,60552551584,3703067,510,D,15574.00,16352.00
Zagros.Kosar.Power,20201012,15149.00,15678.00,15000.00,15574.00,475086780852,30504243,4509,D,14932.00,15678.00
Zagros.Kosar.Power,20201011,14804.00,15350.00,14804.00,14932.00,828860475943,55508681,7891,D,15583.00,14840.00
Zagros.Kosar.Power,20201010,14832.00,14832.00,14832.00,15583.00,1753379712,118216,73,D,15612.00,14832.00
Zagros.Kosar.Power,20201007,14968.00,14968.00,14968.00,15612.00,8520713616,569262,175,D,15755.00,14968.00
Zagros.Kosar.Power,20201006,15100.00,15100.00,15069.00,15755.00,6419136319,425976,86,D,15862.00,15069.00
Zagros.Kosar.Power,20201005,15074.00,15074.00,15074.00,15862.00,317096664,21036,26,D,15867.00,15074.00
Zagros.Kosar.Power,20201004,15079.00,15079.00,15079.00,15867.00,273548139,18141,23,D,15872.00,15079.00
Zagros.Kosar.Power,20201003,15109.00,15109.00,15109.00,15872.00,1940811486,128454,66,D,15904.00,15109.00
Zagros.Kosar.Power,20200930,15120.00,15120.00,15120.00,15904.00,645261120,42676,41,D,15915.00,15120.00
Zagros.Kosar.Power,20200929,15128.00,15128.00,15128.00,15915.00,511144864,33788,14,D,15924.00,15128.00
Zagros.Kosar.Power,20200928,15134.00,15134.00,15134.00,15924.00,346886414,22921,9,D,15930.00,15134.00
Zagros.Kosar.Power,20200927,15143.00,15143.00,15143.00,15930.00,541104819,35733,20,D,15939.00,15143.00
Zagros.Kosar.Power,20200926,15161.00,15161.00,15161.00,15939.00,1135892442,74922,34,D,15958.00,15161.00
Zagros.Kosar.Power,20200923,15247.00,15247.00,15247.00,15958.00,5275705952,346016,86,D,16049.00,15247.00
Zagros.Kosar.Power,20200922,15409.00,15409.00,15409.00,16049.00,9893255996,642044,78,D,16220.00,15409.00
Zagros.Kosar.Power,20200921,15418.00,15418.00,15418.00,16220.00,524273672,34004,19,D,16229.00,15418.00
Zagros.Kosar.Power,20200920,15433.00,15433.00,15433.00,16229.00,935471295,60615,30,D,16245.00,15433.00
Zagros.Kosar.Power,20200919,15633.00,15633.00,15633.00,16245.00,12159769491,777827,98,D,16455.00,15633.00
Zagros.Kosar.Power,20200916,16260.00,17111.00,16256.00,16455.00,62937297224,3824847,845,D,17111.00,16256.00
Zagros.Kosar.Power,20200915,16000.00,16000.00,16000.00,17111.00,10824688000,676543,110,D,17456.00,16000.00
Zagros.Kosar.Power,20200912,16639.00,16639.00,16639.00,17456.00,3174837673,190807,133,D,17514.00,16639.00
Zagros.Kosar.Power,20200909,16720.00,16720.00,16720.00,17514.00,4498198320,269031,91,D,17599.00,16720.00
Zagros.Kosar.Power,20200908,16726.00,16726.00,16726.00,17599.00,356531416,21316,24,D,17606.00,16726.00
Zagros.Kosar.Power,20200907,16732.00,16732.00,16732.00,17606.00,333251244,19917,24,D,17612.00,16732.00
